date,10m_u_component_of_wind_min,10m_u_component_of_wind_mean,10m_u_component_of_wind_max,10m_v_component_of_wind_min,10m_v_component_of_wind_mean,10m_v_component_of_wind_max,2m_temperature_min,2m_temperature_mean,2m_temperature_max,2m_dewpoint_temperature_min,2m_dewpoint_temperature_mean,2m_dewpoint_temperature_max,surface_solar_radiation_downwards_min,surface_solar_radiation_downwards_mean,surface_solar_radiation_downwards_max,total_cloud_cover_min,total_cloud_cover_mean,total_cloud_cover_max,utci_min,utci_mean,utci_max
01-01-1979,-2.5328546,-1.5878525,-0.7423371,0.44963136,1.007465,1.6996393,290.759,296.64444,301.83963,285.64774,288.5741,290.70987,0,730624.75,2712169.2,0.04753047,0.12209114,0.2871367,288.9615,295.8032633,305.6501
02-01-1979,-2.4463353,-1.5539707,-0.59722185,0.8704696,1.6086963,2.1692226,290.60657,296.1289,301.57657,287.83167,289.55475,291.95718,0,739270.8,2634992.5,0.115182824,0.24524792,0.4834996,288.9615,295.8032633,305.6501
03-01-1979,-1.8628967,-1.0761914,-0.048596904,1.0569932,1.674218,2.1311553,291.03125,296.4156,301.7869,286.17767,289.0787,291.89352,0,760641.56,2778471.5,0.03593032,0.33736125,0.65705425,288.56842,296.1916504,306.50662
04-01-1979,-1.3996086,-0.6009054,-0.06759584,0.38095674,1.448656,2.0782108,291.6569,297.108,301.6645,287.18484,288.94812,291.59256,0,696608.7,2787909.8,0.02052088,0.2004594,0.3740606,288.52017,296.859375,307.53827
05-01-1979,-1.5528526,-0.8457009,-0.18294254,-0.21140999,0.6640223,1.5200286,291.53384,296.75797,301.26556,287.73813,288.84937,290.7532,0,676270.56,2591065.8,0.2689336,0.43740937,0.5960851,289.6906,297.2056478,307.6389
06-01-1979,-2.2492235,-1.4339867,-0.4915029,-0.15192233,0.60936165,1.23802,290.32834,296.2231,302.2192,285.7566,288.19855,290.438,0,727488,2701920,0.10887136,0.46512032,0.77885735,288.4299,296.6894124,307.27496
07-01-1979,-2.1758285,-1.3904405,-0.75476664,-0.32345083,0.45916948,1.6173424,289.76474,295.68127,301.64334,285.62244,287.7869,291.55994,0,758410.3,2814598.2,0.24333572,0.50038993,0.8129353,287.40164,295.6954956,306.71985
08-01-1979,-1.379815,-0.7656695,-0.08066923,-1.0510162,0.29489458,1.6829116,288.94165,295.3583,301.27994,283.33685,286.2648,290.21655,0,749998,2641183.5,0.002115591,0.6030541,0.9620142,286.44366,295.3860677,307.11868
09-01-1979,-1.9623682,-1.0829464,-0.025790147,-1.1395345,-0.20974408,0.639137,288.89764,295.75278,302.1441,282.74585,285.20908,289.09308,0,794191.7,2872137,0.000494369,0.021055698,0.10707895,285.98892,295.0719808,306.58768
10-01-1979,-2.4843938,-1.495397,-0.42810774,-0.504767,0.5256822,1.3949125,290.066,295.73245,302.1771,282.20367,285.7582,288.17236,0,810258.7,2888431.5,0,0.04131859,0.24767128,286.1054,294.9865112,306.46228
11-01-1979,-1.7263077,-1.0659986,-0.34443596,-0.7744995,0.66754746,1.3849853,290.0651,296.11646,301.7376,284.11295,286.79807,290.31247,0,812639.8,2923228.5,2.86E-05,0.02801311,0.13055713,285.76584,295.1176351,306.7474
12-01-1979,-1.8238275,-1.0438333,-0.1476509,0.2945945,1.0975072,1.821988,289.86545,295.77267,301.48822,283.0005,286.33737,289.36835,0,799304.5,2927740.2,0.001295295,0.06429642,0.15790725,285.94977,295.237915,306.48654
13-01-1979,-1.7885461,-1.0584725,-0.32002458,0.55269974,1.3410794,2.1768224,289.58234,295.89127,301.0786,284.1906,286.7776,289.98178,0,766991.94,2786800.5,0.000355468,0.09083229,0.28624558,286.622,295.3378092,306.90295
14-01-1979,-1.7544415,-1.237183,-0.7259085,0.37121728,1.3287641,1.9769388,289.5483,295.8335,302.17993,284.54834,286.86423,290.99225,0,794050.75,2914136.2,0.032632317,0.12508464,0.2907892,286.19843,295.4612427,307.4026
15-01-1979,-2.1406474,-1.6119509,-0.7984787,0.9654236,1.960475,2.865001,290.00467,296.40317,302.1292,284.04193,287.40494,290.85242,0,782420.7,2919326.8,0.018625185,0.09341651,0.21169937,286.39166,295.0308431,306.7354
16-01-1979,-1.7179325,-1.3683962,-1.0234427,1.4138712,2.2866924,3.074463,290.69138,296.24478,301.61978,285.61057,287.89288,291.80664,0,810197.2,2914689.8,0.004620887,0.101958714,0.27142373,286.59805,294.7253825,306.1992
17-01-1979,-1.8684299,-1.5066124,-1.1022806,1.3125082,1.9666435,2.414403,290.41556,296.3169,301.8546,285.28586,287.6064,290.7417,0,808693.2,2914980,0.010552328,0.043017227,0.09600262,286.1294,294.9621989,306.44308
18-01-1979,-2.0032985,-1.7206765,-1.2870133,1.216369,1.9535518,2.7553737,290.62302,296.83994,302.02695,286.10782,289.41995,291.1735,0,660313.56,2790747.5,0.10101361,0.31359884,0.73803127,287.0768,296.1096802,306.1636
19-01-1979,-1.6774497,-0.9427596,0.22260948,2.0067313,2.9172964,4.0423875,293.0389,297.83728,301.544,290.50336,292.56747,294.23407,0,533039.06,1976159.1,0.21857338,0.5317381,0.87269986,290.6116,296.3904215,305.15656
20-01-1979,-1.8110763,-1.2040793,-0.59860516,1.0035768,1.7672516,2.6705291,293.87335,297.5402,300.9356,291.19064,293.0306,294.5192,0,563512.94,1929559.1,0.14691404,0.48291683,0.89960265,291.9892,297.2883708,306.16736
21-01-1979,-2.1131477,-1.6600729,-1.2492973,0.49579176,1.4032001,2.817795,293.03964,297.5739,301.5418,289.87436,292.01807,293.66272,0,634513.06,2224343,0.15048495,0.48405215,0.86243254,291.234,297.1232096,306.6782
22-01-1979,-2.5378091,-1.8559421,-1.0652988,0.91356754,1.6650022,2.3837957,291.55307,297.0153,302.03992,288.55115,290.45047,293.45584,0,749481.2,2636251.5,0.05069182,0.42051998,0.8102637,288.4329,296.0778605,305.61273
23-01-1979,-2.5131714,-1.7664375,-0.95031923,0.6928004,1.0755922,1.7157767,291.40668,297.02295,302.24258,287.42056,290.24582,292.15396,0,804605.3,2888723.8,0.028886504,0.20929937,0.707038,287.8211,296.3725586,306.54782
24-01-1979,-2.0478308,-1.5204972,-0.9437298,0.5092478,0.9803131,1.559158,292.23206,297.66812,302.44424,287.99924,290.5753,292.9778,0,748774.25,2736218.8,0.027182918,0.15543403,0.32939374,290.0551,297.3365682,307.46338
25-01-1979,-2.2585747,-1.5720116,-0.7599729,0.73181164,1.3796455,1.8512653,292.5782,297.8914,302.55225,287.6481,290.4154,292.70975,0,810655.2,2946651.2,0.02752626,0.1326067,0.40403655,289.9353,297.2086385,307.53998
26-01-1979,-1.4980589,-1.0528713,-0.33652353,-0.0345559,1.3422499,2.314821,293.07095,297.75168,303.18646,285.1207,289.1019,292.55417,0,817749.3,2977630,0.004978603,0.093115985,0.2857066,289.49844,297.5198364,308.64865
27-01-1979,-1.3015203,-0.6966154,-0.07089562,1.7449201,2.613808,3.1453686,292.5701,298.30298,303.65103,286.62726,288.94217,292.40137,0,801938.56,2872340.5,0.057817996,0.31848752,0.6495367,288.34094,296.9876506,308.4245
28-01-1979,-1.5153376,-0.39519307,0.57298553,2.142981,2.894708,3.2304707,293.0952,298.59497,304.09332,286.58182,288.9836,290.55484,0,795124.8,2977071.5,0.1298821,0.43445992,0.8778439,288.2942,296.9523315,308.1209
29-01-1979,-1.2778333,-0.1267162,1.3005788,1.5160009,2.5363793,3.1177917,293.63065,298.90628,303.44315,287.92154,289.66122,291.68555,0,781892,2928836.8,0.11144964,0.29979256,0.54188114,290.07684,297.5251872,307.34274
30-01-1979,-0.8718236,0.16698797,1.2231241,0.3811177,0.8975815,1.3282702,293.49847,299.07095,304.19894,288.06937,289.8982,290.85178,0,832350.44,3006821.2,0.08083665,0.28655523,0.5349812,290.84283,298.8910319,309.59467
31-01-1979,-1.7390692,-0.89688015,-0.28420478,0.13408192,1.9421307,3.2207472,293.54263,299.46194,304.54263,289.42947,290.9985,291.95322,0,801275.3,2991386.2,0.14150818,0.40026513,0.66801274,291.44055,299.2031657,309.18414
01-02-1979,-0.11289247,0.8137911,1.8725889,-0.3374861,1.686111,3.2449296,292.87915,298.95767,304.57312,287.32623,289.18265,292.24017,0,789061.7,2914858,0.511551,0.68155974,0.81427723,289.80847,297.6114095,308.13333
02-02-1979,-1.1194032,-0.42559728,0.4174881,-1.9728925,-1.2096606,-0.32507044,292.8539,297.7251,302.76736,284.43784,287.72867,290.11642,0,792598.25,2765131.5,0.46391588,0.64377904,0.76177067,288.85425,297.342631,308.80222
03-02-1979,-2.3074927,-1.5047566,-0.82781464,-3.10776,-1.5575825,-0.5323709,291.14856,296.6979,302.2396,283.49884,284.5437,285.80823,0,828507.5,3019496.2,0.016849605,0.24087028,0.8056296,286.90897,295.1437581,306.81787
04-02-1979,-2.476089,-1.99343,-1.0850924,-0.41468272,1.084426,2.2983613,291.2811,297.75888,302.50858,284.36057,288.50638,290.93454,0,699320.25,2886928,0.094667025,0.25692025,0.612601,286.67117,296.5526123,307.3268
05-02-1979,-2.272277,-1.6178852,-0.77788526,0.85719055,2.3895133,3.7003386,294.05344,297.62665,302.20755,289.89618,291.71274,292.86182,0,648123.44,2375040.5,0.27084956,0.5284305,0.79151165,290.88956,297.088033,306.53845
06-02-1979,-1.7468863,-1.0429722,-0.46526054,2.0105712,2.8659961,3.6902611,293.85355,298.48727,302.92487,290.35944,292.15878,294.99323,0,630945.56,2422056.5,0.16751476,0.42074323,0.8459134,291.54742,297.5296631,306.9297
07-02-1979,-1.0587194,0.05334438,2.070893,-0.046081275,1.579923,3.568427,293.84048,298.17093,302.09882,290.0072,291.48373,293.76443,0,626980.5,2136209.2,0.19809075,0.43099287,0.76188403,291.86447,297.5767212,306.00687
08-02-1979,-1.5544319,-0.8493096,0.48192954,-0.5560116,0.14971709,0.9689632,293.6856,298.04013,301.62686,288.72894,290.53006,292.2239,0,666982.7,2247097.5,0.15459552,0.38285723,0.6803892,291.6393,297.7030029,307.3057
09-02-1979,-1.874924,-1.2550586,-0.44084412,-0.8650717,-0.05963051,0.50018406,293.17432,298.2435,302.47052,288.26648,290.01526,291.0227,0,710810.8,2412876.8,0.12367619,0.29017237,0.5326794,290.76694,297.4999186,307.73148
10-02-1979,-1.9832584,-1.487929,-0.8012454,-0.013618371,0.82476443,1.3860741,293.7053,298.16394,301.92407,288.65408,290.61423,292.04572,0,668022.44,2607594.8,0.24422078,0.59860647,0.8973169,290.6358,297.9330648,308.1804
11-02-1979,-1.9545765,-1.4975358,-0.91549045,0.011706279,1.027496,1.9433768,294.0633,297.93362,301.50104,290.88663,292.7972,294.1111,0,643561.44,2149467,0.30599478,0.4526162,0.7048044,291.7117,297.7676595,306.48944
12-02-1979,-2.0007787,-1.4631454,-0.95272875,1.0571649,1.852753,3.007204,294.16315,297.86337,302.1457,290.96118,292.51077,294.1799,0,664627.3,2321988,0.33846793,0.53069216,0.8282915,292.46796,298.3595378,307.27496
13-02-1979,-1.9056531,-1.1797866,-0.1939435,0.66806567,1.4143332,2.3305025,293.7812,297.2238,301.634,291.53757,292.98438,294.5223,0,646794.94,2202541.5,0.24799836,0.54916394,0.8625907,291.12048,297.5792847,306.1354
14-02-1979,-2.6012242,-1.9175001,-1.4402273,1.714227,2.9001782,3.8103251,293.84674,298.65567,302.30728,290.42615,292.1304,293.95828,0,663697.7,2329198.2,0.31084874,0.722383,0.9517943,290.4285,296.9875895,306.2999
15-02-1979,-1.8154876,-1.0320133,0.6405105,2.0925088,3.3660047,4.8418503,293.6482,298.10367,302.3896,289.5837,291.34326,293.8542,0,761805.3,2655884.5,0.107966155,0.35109732,0.6696578,290.1208,296.1309204,305.39404
16-02-1979,-1.7062374,-0.9348547,-0.16926551,1.1120403,1.9178818,2.7037532,293.21295,298.26025,302.56766,288.4075,290.31003,293.06195,0,818082.75,2877608.8,0.06412672,0.22531696,0.37460738,290.30774,297.7778727,307.4931
17-02-1979,-1.9067398,-1.3329903,-1.031496,1.1646311,1.9094563,2.5347674,293.08673,298.76578,303.7132,288.2961,289.72812,291.85364,0,920105.8,3155371,0.022640385,0.06710705,0.16863231,289.61795,297.9815674,309.06274
18-02-1979,-1.997836,-1.5967188,-1.1812592,1.9710827,3.0302594,3.7960808,293.72357,299.81055,304.9083,286.18756,289.94583,294.11374,0,793947.5,3215216,0.009673538,0.1392863,0.7401432,288.6739,297.8715007,308.05618
19-02-1979,-1.5403224,-0.048211653,1.9806167,0.96586865,2.2408104,3.826275,295.03,298.90512,303.44897,292.09772,293.85397,295.1238,0,644588.5,2135054.2,0.23393273,0.5057571,0.9166286,293.40326,299.0478923,307.00226
20-02-1979,-0.8507019,0.49220276,1.7469052,-0.88478655,-0.10504625,1.1928679,294.49542,299.3951,304.54575,289.24036,291.50607,294.73016,0,890705.2,2987674.8,0.012162399,0.16346286,0.6120003,292.30423,299.5666097,310.07095
21-02-1979,-1.3830191,-0.19833381,1.2026162,-2.219301,-1.4664407,-0.5913491,293.73206,299.52197,305.0187,285.2683,288.42343,291.66248,0,942680.8,3200144,0.014391653,0.04571086,0.090659164,289.20358,298.347758,310.29315
22-02-1979,-1.6641248,-0.83322984,0.8445692,-0.6560068,0.61890155,1.6923722,293.6676,300.02307,305.59796,284.70245,287.46323,288.98608,0,886107.7,3114942,0.002497078,0.15884042,0.41182226,288.91132,299.0302734,310.22266
23-02-1979,-1.5588788,-0.6432495,0.5138006,1.3176891,2.2000055,2.8745527,294.06158,300.50662,305.51877,286.64865,289.53226,291.83835,0,845361.7,2851173.8,0.011661966,0.11764241,0.27397394,290.9605,299.1920166,309.48013
24-02-1979,-0.71166813,0.305459,2.0764313,-0.0637902,1.9636955,3.6288373,293.98007,300.73605,305.7237,285.94476,289.01703,292.29584,0,860415.7,2972692,0.002497078,0.13828976,0.28470823,291.2079,298.968099,309.6065
25-02-1979,-1.972846,-1.2733728,-0.09693178,-1.303356,-0.6511554,-0.16059986,293.3138,299.23526,304.88074,286.1154,288.48047,291.25607,0,874861.7,2927613.5,0.031269524,0.14369737,0.23809731,290.77423,298.8356323,309.4912
26-02-1979,-2.700882,-1.8620211,-1.2631855,-0.47465843,0.47945094,1.5249734,293.2124,298.84143,304.38107,286.14822,288.69217,290.6475,0,834335.7,3090661.2,0.10599552,0.22534288,0.44896132,290.31165,298.5888672,309.08936
27-02-1979,-2.249329,-1.6022485,-1.166214,1.2095954,2.0169199,2.7253883,293.29877,298.37695,303.3596,287.64084,289.86942,291.57687,0,751227.75,2934029.8,0.0962367,0.26963338,0.52360946,290.76596,297.803833,306.88126
28-02-1979,-1.6915041,-1.1213198,-0.5582633,0.84548825,1.5358353,2.6286113,293.94186,298.10507,303.73663,287.8348,290.00235,293.09424,0,849084.8,2986016.5,0.17348824,0.33800718,0.55677885,291.22525,298.4769694,308.7121
01-03-1979,-2.26696,-1.5312811,-0.82220614,0.6623325,1.0927794,1.5151213,292.85516,298.77805,304.16348,285.99658,287.78403,290.16232,0,852273.56,3074606.2,0.07879531,0.32088616,0.46215132,290.19656,298.4323324,307.48642
02-03-1979,-2.8456705,-1.6130611,-0.2773084,0.8341989,1.7437278,2.3031077,292.44733,299.03656,305.027,284.3127,286.83966,288.20227,0,990292.8,3376576.2,0.00187633,0.047306698,0.14573114,288.90262,297.7102458,308.35788
03-03-1979,-2.4240818,-1.4482565,-0.38149324,1.0255387,1.5249128,2.4416902,292.2742,298.96033,304.99915,284.2659,287.366,290.4829,0,990729.2,3391365,0.009149042,0.027888564,0.06495622,288.2579,298.0227661,308.85303
04-03-1979,-2.4440117,-1.4250313,-0.40324867,1.1189588,1.7446085,2.5333781,292.98053,299.78445,305.83832,284.67004,288.24118,291.2064,0,1009137.75,3415950,0.001135658,0.031940185,0.115656644,289.6444,298.7036743,309.74048
05-03-1979,-2.1463466,-1.2515528,-0.37979296,1.2853065,1.8973767,2.444077,293.2578,300.27396,306.85733,282.48923,286.99594,289.99875,0,1020103.5,3457833.8,0.000128923,0.01847432,0.05292734,288.94916,298.9350179,310.6904
06-03-1979,-1.11052,-0.5767126,0.08298212,1.607694,2.27705,3.076013,292.88992,301.30237,307.88556,282.4353,285.9938,289.9288,0,1019044.7,3455802.8,0.003683308,0.14142267,0.52536285,289.7067,299.9053548,312.05835
07-03-1979,-0.8868688,0.12313962,1.0292517,0.40495124,1.665258,2.9004192,294.15106,302.24277,308.32288,283.18286,285.4064,287.50836,0,971300.8,3458460,0.002053966,0.10677738,0.22906758,290.0482,300.7848714,312.9246
08-03-1979,-0.6261403,0.66624254,1.9826089,-1.721781,1.2252346,2.301536,295.5863,302.06027,308.01813,282.66864,285.70566,288.2122,0,948675.06,3255935.5,0.14384845,0.32532698,0.585677,290.37173,300.3703003,311.3404
09-03-1979,-0.6351543,0.085917674,0.8697502,-3.90023,-2.8738515,-2.0633256,291.8986,299.68805,306.20016,272.72385,277.73245,283.22446,0,1057293.1,3512407.5,0,0.3061866,0.6230535,284.39096,296.3592529,309.4013
10-03-1979,-0.89283967,-0.28384385,1.10399,-3.6507912,-2.5373595,-1.8911053,290.75977,297.93845,305.49316,272.1012,274.9833,277.3755,0,1079779.1,3601439.5,0,0.002096289,0.010894492,283.1767,294.5063477,308.37045
11-03-1979,-1.4678779,-0.74422044,-0.08268633,-2.3989651,-1.8646694,-1.0723722,290.64853,298.8696,306.4124,273.03598,277.11426,279.44156,0,1077267,3620553.8,0,0.017896745,0.10468439,283.45346,295.9660238,309.72272
12-03-1979,-1.4336025,-0.38546452,0.565214,-2.2100658,-0.9393792,0.009695102,291.93304,300.40677,307.68356,276.45758,280.1151,282.16107,0,1074333.9,3594793,0,0.010248616,0.07672724,286.0825,298.2289632,311.2739
13-03-1979,-0.69136643,0.06507329,1.0577776,-1.9868368,-0.719189,0.005018455,292.68274,300.76288,308.45926,278.71048,282.55728,284.63495,0,1074345.9,3585178.2,0,0.000350862,0.003863292,287.46042,299.2386678,312.21313
14-03-1979,-1.1920236,-0.4272438,0.27969176,-1.4087628,0.13080609,1.6818873,292.66193,301.56635,309.13614,278.86694,283.6404,286.18906,0,1067306.2,3586210.5,0,0.003301348,0.048287474,287.94763,300.0489502,313.07135
15-03-1979,-0.41589952,0.33379182,0.94960403,-0.89238614,0.4246683,1.3015139,293.79306,302.2087,309.60117,281.68823,286.08463,288.37924,0,1062801,3546440.5,0,0.026812786,0.09134417,289.25772,301.0901286,313.96405
16-03-1979,-1.0961487,-0.55019295,0.02978312,0.28203943,1.4008547,2.6691725,294.72864,303.22586,309.95554,283.8769,287.72385,289.49997,0,1060006.1,3548349.2,0,0.029881,0.3296701,290.60938,302.1966756,314.64938
17-03-1979,-0.7485091,0.31294763,1.3425907,1.8050406,2.3382542,3.123959,297.0405,303.81726,310.2959,285.0323,288.92264,290.13412,0,1036457.06,3513750.2,0.4655836,0.70106655,0.8605791,292.24017,302.7235107,314.92194
18-03-1979,-0.7194046,0.3912017,1.2725909,0.847285,1.559076,2.5948396,296.87817,303.95178,310.0397,282.73303,287.41446,290.0829,0,1048378.06,3545554.5,0.11014963,0.5258488,0.8320303,292.9878,302.6989339,314.62646
19-03-1979,-1.0230857,-0.13779724,0.78288424,0.78328145,1.6087294,2.523451,296.93784,304.08157,310.38916,284.35385,288.28244,290.7838,0,1033338.56,3537711.5,0.025247704,0.07794302,0.12695679,293.28183,303.4141439,314.9861
20-03-1979,-0.97502244,-0.1574157,0.53699476,1.269378,2.054351,2.7202775,296.9374,303.86584,310.35507,285.3776,289.2216,291.6537,0,1022364.2,3331654.5,0.05627817,0.38567805,0.80385417,293.86395,303.3499349,314.72736
21-03-1979,-1.2618172,-0.1069397,1.0994626,1.5402689,2.2172282,2.9173877,296.76913,303.7163,310.205,284.12994,288.55942,290.55594,0,1032961.75,3467749.8,0.05220584,0.17724387,0.39769864,293.19446,303.024821,314.7725
22-03-1979,-1.5288737,-0.60736394,0.49762365,1.8082693,2.3785486,3.0586255,296.72787,303.5779,310.27805,284.3379,288.90463,290.89062,0,1024382.75,3453059.8,0.049384207,0.16945732,0.35782155,293.07538,302.8490804,314.27652
23-03-1979,-1.4806093,-0.7970376,-0.029004391,2.2242322,2.9484644,3.860127,295.77576,302.98788,309.6191,283.2395,288.24268,291.18875,0,1041307.2,3507712.5,0.02162974,0.09229851,0.22905704,292.36136,301.5287679,312.83307
24-03-1979,-1.6927514,-0.62590116,0.19024035,1.9371717,2.6867263,3.0845027,295.74667,302.8978,309.23196,282.68283,287.34555,291.3078,0,1019060.7,3563657.8,0.1587464,0.40599287,0.8319499,292.1704,301.5347087,313.13864
25-03-1979,-1.1112646,-0.10166178,0.86536896,1.0657995,1.7445644,2.48474,296.4567,303.32944,309.14523,284.02084,288.48425,291.25012,0,1030000.94,3475983.2,0.6527572,0.802561,0.93147725,293.22372,302.5120443,314.36072
26-03-1979,-1.3576318,-0.49736807,0.26934472,1.0148017,1.7485323,2.471311,297.01736,303.66946,310.00427,285.12604,288.86514,290.6834,0,1004721.8,3345151.2,0.030788755,0.6434174,0.92252576,293.47702,303.0995687,314.94186
27-03-1979,-0.6415225,0.26486346,1.0496289,1.1225038,1.8542017,2.4837213,296.82092,304.19156,310.29572,283.33237,287.4977,289.8325,0,1023314.06,3346686.8,0.01036941,0.15428527,0.40491846,293.1349,303.0371908,314.64966
28-03-1979,-0.66367036,0.26543567,1.2418264,0.72411555,1.6889518,2.6123555,297.37924,304.55655,310.6168,284.07547,287.85867,289.12534,0,1024734.75,3379982,0.011715766,0.094916075,0.19844405,293.79303,303.3742269,315.08383
29-03-1979,0.2238821,0.7760219,1.2722992,-0.48638755,0.6996686,1.5724424,297.19357,303.7407,311.07043,280.7312,284.94083,289.05734,0,1072177.1,3605975,0.000638551,0.036437064,0.12145623,293.11633,303.1725871,315.224
30-03-1979,0.49835303,1.0089675,1.929133,-0.285791,0.44442263,1.0356106,296.6448,303.83585,311.2815,280.539,284.02396,287.3812,0,1086275.9,3609271.5,0,0.060236473,0.19299994,292.99896,303.1592407,315.57358
31-03-1979,0.17398286,0.64425296,1.4660914,-0.98684126,0.17304797,0.85022914,296.87344,303.8146,310.95157,281.02875,284.22754,287.476,0,1087671.8,3616429.2,0.000667113,0.023879813,0.05965217,292.69055,303.0026855,315.35175
01-04-1979,-0.80262864,-0.24176317,0.48539528,-0.730672,0.49824223,1.4818914,298.12262,304.76538,310.98422,282.43338,286.66174,289.47318,0,1091290,3585705,0.000385204,0.024155015,0.08647385,293.01047,303.7618815,315.6588
02-04-1979,-1.8431232,-0.68344164,0.4396711,-0.15708163,1.2563094,2.490827,297.60202,305.48154,311.85385,283.0761,287.02454,288.6557,0,1084314,3601435.5,0.02359146,0.107947566,0.27523726,294.15982,304.630778,316.52588
03-04-1979,-0.88294023,0.36011425,1.934128,1.3999215,2.0452511,2.979654,298.57434,305.9533,312.60794,282.96545,287.07852,288.86298,0,1065164.5,3620116.5,0.003230708,0.10329644,0.20701805,294.0865,305.0807902,316.94888
04-04-1979,1.0033715,2.0952342,3.1634748,-0.75646865,0.8070962,1.6513553,300.37582,306.82986,312.7837,283.1363,285.7362,288.66055,0,1093436.5,3625179,0.018185593,0.24419965,0.41074777,295.71616,305.5922648,317.21744
05-04-1979,0.36793092,1.4203238,2.5934567,-4.054231,-1.7247115,-0.6981609,299.20724,305.4047,311.66568,282.45013,284.92938,286.66046,0,1106189.2,3625107.2,0.014218419,0.14312722,0.36895436,295.57617,304.2658285,315.65683
06-04-1979,-2.0782182,-0.63139117,0.50023425,-3.3015504,-1.2558724,-0.3580965,297.93607,305.30753,311.54358,281.34155,284.32306,286.60706,0,1119432.5,3673183.2,0.000839859,0.031799387,0.28743184,294.31906,303.8448283,315.79205
07-04-1979,-2.0843902,-1.0088792,-0.07978392,-1.0569907,-0.025201997,1.0422394,296.70746,304.94763,311.53683,281.27994,285.15622,286.89447,0,1128173.9,3686497.8,0.001866548,0.025011564,0.052163575,293.7968,304.0877279,316.204
08-04-1979,-1.4560822,-0.738409,0.11023054,-1.5857779,0.5308319,2.1045222,296.39133,304.6492,312.07742,279.57812,285.43158,288.3218,0,1139915.6,3717108.5,3.52E-06,0.001683198,0.005902683,293.27826,304.0085246,316.26993
09-04-1979,-1.0974215,-0.3930982,0.32928413,-0.9898822,1.3711063,2.7475493,297.1619,305.17715,312.3499,281.1086,287.0415,289.5061,0,1117430.5,3694924.2,0,0.024257943,0.08531482,293.16476,304.4845174,316.77548
10-04-1979,-1.5164895,-0.15740484,0.96604764,0.05941657,1.9272429,3.2290869,297.8055,305.5451,312.11624,282.775,288.28296,290.70764,0,1027993.7,3552942.8,0.016631668,0.13134602,0.344056,294.6649,304.5525309,316.0371
11-04-1979,-1.2749761,0.062637225,1.4228619,0.57789564,1.9814816,3.1444087,298.64072,305.77982,311.69318,282.52695,288.6696,291.69196,0,1028805.25,3450639.5,0.011314716,0.09711508,0.3189716,294.48178,304.604187,315.76852
12-04-1979,-1.4050311,-0.32496777,1.3598341,-0.033081055,1.5593439,2.9775996,299.126,305.96765,312.13934,281.9777,288.35233,292.3215,0,1042200.8,3514110.2,0.003092003,0.12296333,0.35331494,294.8161,305.0296224,316.50485
13-04-1979,-1.6160717,-0.95652,-0.046323262,0.97141415,2.2478063,3.4401143,299.2701,305.2303,311.24115,286.51263,290.53235,293.82642,0,1023941.3,3478905.5,0.021904211,0.15089397,0.4878157,295.4124,304.9569092,316.12915
14-04-1979,-1.338638,-0.74922824,-0.021298189,1.3723981,2.6787786,3.536565,299.13092,304.80057,310.73178,285.78546,291.1531,294.45642,0,1019129.3,3616377,0.009708165,0.12797041,0.26797342,295.10834,304.4903564,315.31314
15-04-1979,-1.2871039,-0.36041093,0.88599765,0.42703658,2.3789368,3.565874,298.91772,304.37677,310.52658,288.06717,291.5698,295.0968,0,954697.5,3487849,0.061034728,0.26836908,0.42396194,296.54532,304.8058065,315.49854
16-04-1979,-0.64248836,0.001311344,0.8215663,1.3140528,2.4281461,3.1996486,298.30502,304.09738,309.41748,288.4172,291.51685,292.9759,0,977952.2,3187819.5,0.07007851,0.23345192,0.48155874,296.70013,304.2953288,314.47342
17-04-1979,-1.2170941,-0.4277699,0.3352801,0.75115633,2.1152875,2.9933245,297.60388,303.24854,310.40714,287.6995,292.17093,293.66,0,1023868.5,3326699.5,0.014207855,0.16718514,0.39641127,296.66693,304.4362386,314.92603
18-04-1979,-1.2168325,-0.053641528,1.197234,-0.5579691,1.7188053,3.1070704,297.64096,304.76846,309.97028,289.07864,291.84464,295.0468,0,1028983.44,3341658.8,0.013102815,0.14308764,0.26181212,296.66626,305.0620728,315.6574
19-04-1979,-0.6968543,0.38206315,1.6211814,-0.2577741,1.6708359,2.9130602,299.82428,305.90366,311.0647,286.6155,290.30624,293.32077,0,1003542.7,3379876.8,0.023568481,0.13867746,0.35504976,297.07727,305.4654744,315.38986
20-04-1979,-0.31054777,0.81128985,2.223609,-0.64930826,1.2647773,2.4277463,300.3708,306.3423,311.70123,284.44995,288.6459,292.43683,0,996839.75,3410026.2,0.013219607,0.18578744,0.35682893,296.7828,305.7640381,316.07916
21-04-1979,0.06499427,1.0029474,1.9735041,-0.45799524,0.9557769,2.2424884,300.4604,306.66617,312.502,282.53586,287.08984,289.45966,0,1041794.7,3454221.2,0.07324612,0.19955885,0.33775604,296.56992,305.685262,316.57373
22-04-1979,-1.3328985,-0.21625483,1.5265589,-1.8032199,-0.013850063,1.6224426,299.75928,306.75073,313.19858,280.13556,285.02304,288.82742,0,1089962.6,3494407,0.025034267,0.11551743,0.22564545,295.86154,305.4750977,317.03055
23-04-1979,-1.8316544,-0.55552834,0.5317684,-1.729268,0.44013193,1.8421854,298.81967,306.28775,313.09158,280.1014,286.06503,290.51602,0,1102827.2,3498245.8,0.00020796,0.07554088,0.21197063,294.7629,305.2683105,316.6501
